Index,Company_name,Rating,Reviews,Industry_type,Total_headquater,Total_jobs,Total_employee
77,Virtusa,3.8,8TReviews,Information Technology Support Services,28 office locations,66,10000+ Employees
78,Larsen & Toubro,3.8,7TReviews,Construction,26 office locations,61,10000+ Employees
79,Atos-Syntel,3.6,7.5TReviews,Information Technology Support Services,29 office locations,39,10000+ Employees
80,HDFC Bank,3.6,7.6TReviews,Banking & Lending,6 office locations,7.1T,10000+ Employees
81,VMware,4.5,10.5TReviews,Enterprise Software & Network Solutions,46 office locations,1.2T,10000+ Employees
82,Adobe,4.4,8.7TReviews,Computer Hardware Development,27 office locations,421,10000+ Employees
83,Atos,3.7,11.9TReviews,Information Technology Support Services,40 office locations,2.3T,10000+ Employees
84,UnitedHealth Group,3.7,15.8TReviews,Healthcare Services & Hospitals,25 office locations,4.9T,10000+ Employees
85,Deutsche Bank,4,11.7TReviews,Banking & Lending,53 office locations,3.2T,10000+ Employees
86,Tata Consultancy Services (North America),3.8,8.8TReviews,Information Technology Support Services,31 office locations,660,10000+ Employees
87,Schneider Electric,4.2,13.4TReviews,Energy & Utilities,25 office locations,4.2T,10000+ Employees
88,Philips,4.1,11TReviews,Healthcare Services & Hospitals,26 office locations,1.1T,10000+ Employees
89,Samsung Electronics,3.8,13.5TReviews,Electronics Manufacturing,21 office locations,46,10000+ Employees
90,TCS,3.9,6.6TReviews,N/A,"Headquarters in Leingarten, Germany",--,Unknown
91,Credit Suisse,4,11.3TReviews,Investment & Asset Management,25 office locations,404,10000+ Employees
92,Cognizant,3.8,6.5TReviews,N/A,"Headquarters in New Delhi, India",--,1 to 50 Employees
93,BNY Mellon,3.6,10.8TReviews,Investment & Asset Management,26 office locations,6.1T,10000+ Employees
94,Lowe's Home Improvement,4.3,38.7TReviews,Home Furniture & Housewares Stores,2 office locations,6.8T,1001 to 5000 Employees
95,NatWest Group,4,8.7TReviews,Banking & Lending,33 office locations,832,10000+ Employees
96,Zensar Technologies,3.9,4.2TReviews,Information Technology Support Services,20 office locations,179,5001 to 10000 Employees
97,McKinsey & Company,4.3,9.7TReviews,Business Consulting,25 office locations,82,10000+ Employees
98,Persistent Systems,4,5.7TReviews,Information Technology Support Services,56 office locations,49,10000+ Employees
99,Hexaware Technologies,3.8,5TReviews,Information Technology Support Services,15 office locations,91,10000+ Employees
100,Sutherland,3.8,8.5TReviews,HR Consulting,30 office locations,303,10000+ Employees
101,Axis Bank,3.8,6.3TReviews,Banking & Lending,25 office locations,17,10000+ Employees
102,Reliance Industries,3.9,6.1TReviews,Energy & Utilities,25 office locations,43,10000+ Employees
103,Unilever,4.1,14.6TReviews,Consumer Product Manufacturing,25 office locations,1.3T,10000+ Employees
104,BNP Paribas,3.8,13.1TReviews,Banking & Lending,26 office locations,6.3T,10000+ Employees
105,UBS,4,13TReviews,Investment & Asset Management,19 office locations,1.2T,10000+ Employees
106,Jio,3.8,5.3TReviews,"Cable, Internet & Telephone Providers",25 office locations,66,5001 to 10000 Employees
107,Flipkart,4,4.8TReviews,Internet & Web Services,10 office locations,131,10000+ Employees
108,AT&T,3.7,38.6TReviews,Telecommunications Services,25 office locations,2.8T,10000+ Employees
109,GlobalLogic,4,6.1TReviews,Information Technology Support Services,40 office locations,976,10000+ Employees
